Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2012","2012","%","-4.430218","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","3.705432","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2014","2014","%","3.537487","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2015","2015","%","-13.919579","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2016","2016","%","4.166459","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","9.765943","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2018","2018","%","16.411324","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","1.619022","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-1.552359","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2021","2021","%","18.254178","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2022","2022","%","5.49795","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2023","2023","%","18.578544","E","Estimated value",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2012","2012","%","-12.01737","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","0.118311","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2014","2014","%","2.340765","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2015","2015","%","-14.647313","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2016","2016","%","3.796975","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","3.645144","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2018","2018","%","7.274919","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-1.965796","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-8.37216","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2021","2021","%","14.999818","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2022","2022","%","1.545375","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2023","2023","%","8.830304","E","Estimated value",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2012","2012","%","-5.032256","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","5.042063","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2014","2014","%","2.773375","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2015","2015","%","-13.61518","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2016","2016","%","3.601478","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","5.483879","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2018","2018","%","9.042304","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-2.284664","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-2.147306","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2021","2021","%","10.170351","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2022","2022","%","-1.876337","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2023","2023","%","11.358496","E","Estimated value",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2012","2012","%","6.352677","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","14.98287","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2014","2014","%","4.350085","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2015","2015","%","-28.368747","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2016","2016","%","-15.465878","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","14.67172","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2018","2018","%","9.694949","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","7.294801","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-4.717404","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2021","2021","%","13.527563","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2022","2022","%","4.592954","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2023","2023","%","-7.92083","E","Estimated value",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2012","2012","%","-5.06352","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","5.131482","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2014","2014","%","2.498906","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2015","2015","%","-13.564872","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2016","2016","%","2.940586","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","5.680656","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2018","2018","%","8.062289","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-1.368172","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-1.791788","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2021","2021","%","14.153457","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2022","2022","%","-3.013871","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2023","2023","%","8.289487","E","Estimated value",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2012","2012","%","-7.6029","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","5.528432","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2014","2014","%","2.088257","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2015","2015","%","-11.60844","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2016","2016","%","4.34381","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","7.065814","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2018","2018","%","11.77361","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-0.007076","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-1.252629","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2021","2021","%","17.040799","X","Figure from international organizations",""
