Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2012","2012","million USD","12319.779604","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2013","2013","million USD","12776.280738","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2014","2014","million USD","13228.240079","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2015","2015","million USD","11386.924853","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2016","2016","million USD","11861.356451","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2017","2017","million USD","13019.729856","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2018","2018","million USD","15156.439968","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","15401.82608","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","15162.734468","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","17930.56704","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","18916.380686","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","22430.768974","E","Estimated value",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2012","2012","million USD","3188.830334","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2013","2013","million USD","3192.603086","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2014","2014","million USD","3267.334446","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2015","2015","million USD","2788.757749","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2016","2016","million USD","2894.646184","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2017","2017","million USD","3000.160225","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2018","2018","million USD","3218.419456","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","3155.151912","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","2890.997547","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","3324.641933","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","3376.020146","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","3674.13301","E","Estimated value",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2012","2012","million USD","409425.234155","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2013","2013","million USD","430068.712972","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2014","2014","million USD","441996.131737","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2015","2015","million USD","381817.565894","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2016","2016","million USD","395568.644341","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2017","2017","million USD","417261.151845","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2018","2018","million USD","454991.174096","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","444596.155845","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","435049.316956","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","479295.362747","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","470302.170937","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","523721.427814","E","Estimated value",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2012","2012","million USD","65685.90357","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2013","2013","million USD","75527.537703","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2014","2014","million USD","78813.04985","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2015","2015","million USD","56454.775753","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2016","2016","million USD","47723.549319","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2017","2017","million USD","54725.415191","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2018","2018","million USD","60031.016756","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","64410.160389","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","61371.673345","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","69673.765645","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","72873.850196","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","67101.636794","E","Estimated value",""
"MK","Macro Indicators","056","Belgium","6110","Value US$","22008","Gross Domestic Product","2012","2012","million USD","496181.260258","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6110","Value US$","22008","Gross Domestic Product","2013","2013","million USD","521642.714408","X","Figure from international organizations",""
