Country Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108
Austria,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264
Belgium,7.542,8.425,8.523,8.482,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.528
Bulgaria,12.27,12.941,11.424,9.143,7.575,6.164,5.211,4.23,5.125,5.267,4.268,4.319
Croatia,15.935,17.251,17.29,16.175,13.103,11.208,8.432,6.617,7.507,7.608,6.96,6.086
Czechia,6.979,6.953,6.108,5.048,3.952,2.893,2.246,2.015,2.55,2.803,2.224,2.579
Denmark,7.798,7.384,6.925,6.278,5.989,5.833,5.131,5.018,5.637,5.043,4.434,5.094
Estonia,10.021,8.631,7.352,6.412,6.882,5.807,5.412,4.514,6.956,6.178,5.571,6.378
France,9.841,9.913,10.273,10.354,10.057,9.409,9.018,8.415,8.009,7.874,7.308,7.335
Finland,7.689,8.193,8.663,9.376,8.818,8.64,7.361,6.695,7.759,7.617,6.719,7.151
Germany,5.372,5.316,4.979,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068
Greece,24.731,27.686,26.708,24.981,23.514,21.413,19.179,17.045,15.899,14.656,12.426,11.066
Hungary,11.003,10.177,7.725,6.813,5.115,4.156,3.708,3.419,4.25,4.045,3.609,4.107
Iceland,6,5.376,4.897,3.979,2.978,2.742,2.704,3.507,5.478,6.029,3.789,3.518
Ireland,15.451,13.735,11.858,9.908,8.374,6.713,5.741,4.95,5.623,6.364,4.501,4.288
Italy,10.655,12.149,12.683,11.896,11.688,11.211,10.61,9.951,9.164,9.497,8.069,7.627
Latvia,15.047,11.867,10.846,9.873,9.643,8.715,7.412,6.312,8.098,7.513,6.815,6.465
Lithuania,13.365,11.77,10.698,9.12,7.862,7.073,6.147,6.255,8.487,7.112,5.955,6.841
Luxembourg,5.03,6.045,6.044,6.796,6.669,5.523,5.589,5.592,6.766,5.571,4.588,5.184
Malta,6.197,6.106,5.725,5.389,4.687,4.002,3.658,3.616,4.347,3.394,2.921,3.11
North Macedonia,31.096,29.017,28.215,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.476,13.174
Norway,3.129,3.425,3.486,4.296,4.68,4.164,3.801,3.684,4.424,4.359,3.231,3.572
Poland,10.031,10.293,8.971,7.475,6.141,4.867,3.835,3.267,3.155,3.268,2.811,2.743
Portugal,15.531,16.188,13.897,12.447,11.068,8.869,6.994,6.464,6.801,6.577,6.011,6.509
Romania,6.794,7.096,6.802,6.812,5.901,4.927,4.187,3.912,5.035,5.59,5.614,5.589
Serbia,24,22.154,19.223,17.66,15.257,13.477,12.733,10.395,9.011,9.843,8.439,8.268
Slovakia,13.966,14.226,11.536,11.492,9.679,8.142,6.544,5.761,6.719,6.894,6.143,5.84
Slovenia,8.841,10.103,9.668,8.962,8,6.564,5.108,4.446,4.971,4.744,4.011,3.652
Spain,24.789,26.094,24.441,22.057,19.635,17.224,15.255,14.104,15.532,14.781,12.917,12.179
Sweden,7.976,8.052,7.954,7.432,6.99,6.718,6.365,6.833,8.291,8.722,7.392,7.611
Switzerland,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.013,4.122,4.043
