Area,Year,Food Inflation Rate,Raw GDP,GDP Growth Rate,Item,Item Price Per Tonne,Overall Inflation Rate
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Apples,369.7,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Apricots,489.9,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Barley,316.1,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Beans, dry",1562.2,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Cabbages,203.4,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Cantaloupes and other melons,323.5,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Carrots and turnips,305.0,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Cauliflowers and broccoli,637.8,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Cherries,952.1,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Chestnuts, in shell",813.4,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",364.2,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Cucumbers and gherkins,332.8,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Dates,231.1,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Eggplants (aubergines),406.7,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Figs,656.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Grapes,610.1,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Green garlic,758.0,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Hen eggs in shell, fresh",2165.6,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Leeks and other alliaceous vegetables,240.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Lemons and limes,637.8,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Lettuce and chicory,591.6,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Maize (corn),360.5,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of cattle with the bone, fresh or chilled",6493.6,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of cattle with the bone, fresh or chilled (biological)",3571.5,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of chickens, fresh or chilled",4528.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of chickens, fresh or chilled (biological)",3169.8,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of goat, fresh or chilled",7032.2,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of goat, fresh or chilled (biological)",3305.2,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of pig with the bone, fresh or chilled",5546.1,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of pig with the bone, fresh or chilled (biological)",2749.1,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of sheep, fresh or chilled",7193.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of sheep, fresh or chilled (biological)",3381.2,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Meat of turkeys, fresh or chilled",6008.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Natural honey,11547.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Oats,342.9,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Olives,693.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Onions and shallots, dry (excluding dehydrated)",212.6,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Onions and shallots, green",425.2,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Oranges,342.0,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Other fruits, n.e.c.",674.8,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Peaches and nectarines,452.9,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Pears,582.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Peas, dry",582.3,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Plums and sloes,305.0,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Potatoes,268.1,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,"Pumpkins, squash and gourds",360.5,3.2
Albania,2012,2.4040868333333334,12319.779604,-4.430218,Quinces,258.8,3.2
