Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2012","2012","7021","Annual value","USD","369.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2013","2013","7021","Annual value","USD","492.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2014","2014","7021","Annual value","USD","474.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2015","2015","7021","Annual value","USD","389","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2016","2016","7021","Annual value","USD","381.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2017","2017","7021","Annual value","USD","461.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2018","2018","7021","Annual value","USD","435.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2019","2019","7021","Annual value","USD","346.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2020","2020","7021","Annual value","USD","510.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2021","2021","7021","Annual value","USD","590.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2022","2022","7021","Annual value","USD","557.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2012","2012","7021","Annual value","USD","489.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2013","2013","7021","Annual value","USD","823.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2014","2014","7021","Annual value","USD","758.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2015","2015","7021","Annual value","USD","746.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2016","2016","7021","Annual value","USD","732.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2017","2017","7021","Annual value","USD","599.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2018","2018","7021","Annual value","USD","777.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2019","2019","7021","Annual value","USD","909.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2020","2020","7021","Annual value","USD","724.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2021","2021","7021","Annual value","USD","1243.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2022","2022","7021","Annual value","USD","893.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2012","2012","7021","Annual value","USD","316.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2013","2013","7021","Annual value","USD","482.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2014","2014","7021","Annual value","USD","431.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2015","2015","7021","Annual value","USD","341.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2016","2016","7021","Annual value","USD","319.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2017","2017","7021","Annual value","USD","303.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2018","2018","7021","Annual value","USD","302.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2019","2019","7021","Annual value","USD","306.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2020","2020","7021","Annual value","USD","286.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","312.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2022","2022","7021","Annual value","USD","396.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2012","2012","7021","Annual value","USD","1562.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2013","2013","7021","Annual value","USD","2403.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2014","2014","7021","Annual value","USD","2059.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2015","2015","7021","Annual value","USD","1738.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2016","2016","7021","Annual value","USD","1661.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2017","2017","7021","Annual value","USD","1710.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2018","2018","7021","Annual value","USD","2078.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2019","2019","7021","Annual value","USD","1978.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2020","2020","7021","Annual value","USD","2100.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2021","2021","7021","Annual value","USD","2356.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2022","2022","7021","Annual value","USD","2328.4","A","Official figure"
